idx,R_mean_s,X_jobs_per_s,N_mean,U_A,U_B,U_P
1,2.9367839909,0.4041926364,1.1870264638,0.2923137698,0.3110682209,0.2683068432
2,3.3475578204,0.3936224084,1.3176737715,0.2897837076,0.3306971996,0.2828390905
3,3.2299213392,0.3959489869,1.2788840819,0.3027667783,0.3255256466,0.2937860052
4,3.0582592994,0.3866894347,1.1825965596,0.2852429530,0.3060301617,0.2581025305
5,3.2283131970,0.3931507096,1.2692136241,0.3009160175,0.3141751775,0.2811585497
6,3.2487768757,0.4072642329,1.3231106222,0.3007539392,0.3229455288,0.3023226710
7,3.2757885122,0.3783107291,1.2392659405,0.2801387426,0.3134098925,0.2724336926
8,3.3564523032,0.4066628088,1.3649443214,0.3045669241,0.3267199112,0.3056373462
9,3.1568256261,0.3910419826,1.2344513514,0.3037499098,0.3141320917,0.2611146970
10,3.4253943389,0.4027099046,1.3794402275,0.3052386850,0.3277669397,0.2804010914
11,3.0718230918,0.3885711825,1.1936219311,0.2850413653,0.3176195606,0.2765073779
12,3.0840609204,0.3799312255,1.1717310450,0.2804798292,0.3049371313,0.2621314460
13,3.3343400565,0.3723996736,1.2417071488,0.2809285811,0.2999743302,0.2863663311
14,3.0665455421,0.3876654514,1.1887937618,0.2883900777,0.3084421636,0.2791325607
15,3.2462750482,0.3777435566,1.2262594823,0.2901120246,0.3072507865,0.2653151651
16,3.2000968263,0.3725162825,1.1920881733,0.2757257794,0.2980493786,0.2724864600
17,3.2020943269,0.3872411126,1.2399825696,0.2879746790,0.3143520181,0.2709552615
18,3.1621080745,0.3819500904,1.2077674651,0.2872886762,0.3078798932,0.2708705887
19,3.1830412169,0.3934252834,1.2522888930,0.2973587159,0.3194023153,0.2826743761
20,3.1740422076,0.3903953153,1.2391312084,0.2925579067,0.3105808416,0.2746780100
21,3.1298318132,0.3968459549,1.2420610946,0.2886422949,0.3193099488,0.2823477713
22,3.1639799732,0.3794733216,1.2006459899,0.2876956416,0.3040279448,0.2563431838
23,3.1777730622,0.3838966494,1.2199364312,0.2863463369,0.3014245285,0.2707606311
24,3.2408327679,0.3754790115,1.2168646841,0.2844982681,0.2935892806,0.2720360323
25,3.0984477237,0.3710410580,1.1496513215,0.2801777582,0.3085260334,0.2541717336
26,3.1181355890,0.3875629976,1.2084739757,0.3065645422,0.2837023720,0.2704330498
27,3.1905681694,0.3647658147,1.1638101978,0.2687633746,0.3127130698,0.2565378050
28,3.1999829587,0.3869537393,1.2382453717,0.2995916056,0.2845932691,0.2808024346
29,3.2544472605,0.3900903687,1.2695285317,0.2953382743,0.3121590313,0.2800929034
30,3.0430996568,0.3669631976,1.1167055808,0.2741305939,0.2904709336,0.2654510184
31,3.1247141655,0.3922847572,1.2257777376,0.3059925853,0.3095088450,0.2661429706
32,3.0613066804,0.3968042611,1.2147395355,0.2953292535,0.3165232008,0.2807444256
33,3.1003407889,0.3685507541,1.1426329356,0.2818015655,0.2817737262,0.2593889437
34,3.1839293258,0.3656026806,1.1640530964,0.2736189122,0.3002006938,0.2598406380
35,3.1021570607,0.3652943630,1.1332004873,0.2799367548,0.2828725087,0.2604248130
36,3.1183491518,0.3811089662,1.1884308215,0.2814783216,0.2988364012,0.2686673145
37,3.2313272297,0.3640690608,1.1764262695,0.2734285368,0.3020907758,0.2644492810
38,2.9812204599,0.3823779755,1.1399530440,0.2917754228,0.2995132909,0.2502588001
39,3.0909051597,0.3890593601,1.2025455836,0.2912424911,0.3081075380,0.2742639605
40,3.2580305418,0.3916086605,1.2758729763,0.3035010707,0.3207069013,0.2877332726
41,3.1487021215,0.3656450451,1.1513073293,0.2788260999,0.3101468737,0.2527327319
42,3.3090260014,0.3849777603,1.2739014187,0.2906961652,0.3113405636,0.2726386010
43,3.1089035240,0.3930124536,1.2218378020,0.2883539783,0.3215837141,0.2838069958
44,3.1908153360,0.3780254829,1.2062095082,0.2781097306,0.3036241606,0.2709056440
45,3.1505757159,0.3737160800,1.1774208062,0.2842211207,0.2887524118,0.2638271307
46,3.2126231628,0.3887116611,1.2487840861,0.2923085645,0.3141688733,0.2757536427
47,3.2106525676,0.3728842468,1.1972017643,0.2857478783,0.3000383545,0.2626233947
48,3.0124332024,0.3680746143,1.1088001892,0.2780024075,0.2885032642,0.2535776210
49,3.3993039363,0.3835377443,1.3037613638,0.2939919430,0.3240365287,0.2634117390
50,3.1110713160,0.3750180623,1.1667079365,0.2843089722,0.2885170835,0.2638455580
