idx,R_mean_s,X_jobs_per_s,N_mean,U_A,U_B,U_P
1,2.4128553053,0.4042254676,0.9753375641,0.2721400746,0.3110934879,0.1533306497
2,2.7018764760,0.3935887133,1.0634280858,0.2687485286,0.3306988831,0.1616085021
3,2.6498489980,0.3959868881,1.0493054586,0.2850107337,0.3255266319,0.1678869739
4,2.5169983338,0.3866773292,0.9732661934,0.2665723927,0.3059648134,0.1474891961
5,2.6041341067,0.3932464095,1.0240663874,0.2770624971,0.3141747834,0.1607011364
6,2.6282538265,0.4072313747,1.0703074189,0.2817478674,0.3230578095,0.1727418740
7,2.6673047334,0.3782746639,1.0089738014,0.2595156358,0.3133800144,0.1556615548
8,2.6467172842,0.4067727147,1.0766123748,0.2821357805,0.3263571101,0.1746971135
9,2.6392681105,0.3908421529,1.0315372304,0.2860279397,0.3144049991,0.1491321501
10,2.7281303783,0.4027984201,1.0988866063,0.2854398208,0.3278389828,0.1602644134
11,2.5483758599,0.3886197621,0.9903492204,0.2683198851,0.3174504269,0.1580239698
12,2.5322176167,0.3799078615,0.9620093796,0.2618272986,0.3049798745,0.1497801863
13,2.6789254663,0.3724052628,0.9976459424,0.2623788764,0.3001186806,0.1636403595
14,2.4848853900,0.3878816229,0.9638413779,0.2696960278,0.3083885899,0.1595932638
15,2.6629867344,0.3774924223,1.0052573128,0.2687698131,0.3072312114,0.1515078721
16,2.5969494051,0.3727975400,0.9681363498,0.2584298295,0.2978552063,0.1556637873
17,2.6495472392,0.3869379476,1.0252103709,0.2705381281,0.3145402484,0.1548767669
18,2.5707324037,0.3820454187,0.9821365376,0.2680614974,0.3079927531,0.1547432844
19,2.6128605230,0.3933896431,1.0278722686,0.2765532713,0.3191618526,0.1615944546
20,2.5524486873,0.3904507316,0.9966054573,0.2750885775,0.3108348760,0.1569811430
21,2.5669159003,0.3967123448,1.0183272258,0.2723117455,0.3192024436,0.1612872631
22,2.6143996658,0.3794807184,0.9921142633,0.2685999661,0.3040338710,0.1464846746
23,2.5544982714,0.3841472417,0.9813034649,0.2658398607,0.3015913141,0.1548433991
24,2.6898005555,0.3753968864,1.0097427536,0.2715732745,0.2931636808,0.1553936202
25,2.5791085331,0.3708892581,0.9565636503,0.2609872984,0.3087857936,0.1452016767
26,2.5248615790,0.3877291677,0.9789624787,0.2868001093,0.2838240112,0.1545784086
27,2.6259741331,0.3647105440,0.9577204547,0.2543416079,0.3126656863,0.1464806664
28,2.5659728849,0.3869033729,0.9927835640,0.2797371884,0.2845562261,0.1605395980
29,2.6302192196,0.3900908856,1.0260245447,0.2763287832,0.3121594450,0.1600469367
30,2.4659480662,0.3669671715,0.9049219869,0.2577553374,0.2902965079,0.1516342270
31,2.5542055886,0.3922262786,1.0018265528,0.2817234360,0.3096117777,0.1521164353
32,2.5043645253,0.3968980155,0.9939773101,0.2768690481,0.3163721600,0.1603503106
33,2.5191096179,0.3685343202,0.9283783504,0.2650415333,0.2820091125,0.1483095392
34,2.5772055559,0.3655520089,0.9421026683,0.2567450244,0.3001590867,0.1484707073
35,2.5360660986,0.3653177279,0.9264699050,0.2641607493,0.2827539480,0.1488312310
