idx,R_mean_s,X_jobs_per_s,N_mean,U_A,U_B,U_P
1,2.4023774761,0.2914944496,0.7002797001,0.2256038210,0.2024912814,0.1717659488
2,3.9348477948,0.4538824127,1.7859582108,0.3221558445,0.3446141841,0.3903495023
3,3.1301959209,0.4099811221,1.2833212361,0.2927828800,0.3448660922,0.2596350316
4,3.0942889019,0.4565432944,1.4126768491,0.3270960715,0.3509113979,0.2820525780
5,3.0873016319,0.4471093172,1.3803613247,0.3483874941,0.3755000170,0.2998746342
6,3.1059561487,0.4762876961,1.4793286984,0.3512095372,0.3330777879,0.3309530794
7,3.1519423442,0.4085449784,1.2877102171,0.2940417125,0.3271877637,0.3167197947
8,3.1606906940,0.4073763746,1.2875907160,0.2858164440,0.3196083774,0.3078260726
9,3.0483799341,0.4855268326,1.4800702539,0.3505294009,0.4009461585,0.3198755798
10,3.4093004842,0.3819024807,1.3020203125,0.3054871180,0.2612609900,0.2529308576
11,3.2468801761,0.3851833912,1.2506443172,0.2987933006,0.2853972888,0.3132216918
12,2.8716199326,0.4691262264,1.3471522226,0.3404753130,0.3477263140,0.3272177102
13,2.5636594385,0.3673982929,0.9418841013,0.2830570260,0.2463397863,0.1913848192
14,2.7758433231,0.4004262411,1.1115205078,0.3010849180,0.3245128004,0.2394170708
15,2.6668479917,0.3418193538,0.9115802573,0.2512307829,0.2667341012,0.1845848099
16,3.3788052972,0.4179212969,1.4120746917,0.3177676470,0.3913646680,0.3452984106
17,2.6561168416,0.3696321071,0.9817860648,0.2563779695,0.2533309196,0.2639307129
18,2.7891615129,0.4631959480,1.2919283110,0.2799890640,0.4009659031,0.3026802970
19,2.5391605951,0.3557038134,0.9031891065,0.2607840145,0.2694663115,0.1876526547
20,2.9412285060,0.4266961444,1.2550108632,0.2541169192,0.3553533287,0.3208411176
21,3.2045521551,0.5131006007,1.6442576357,0.3684659493,0.4291304088,0.3673481990
22,2.3907273581,0.5063815755,1.2106202862,0.3497614751,0.3206585259,0.2584811661
23,2.7141254157,0.4240974108,1.1510535615,0.3324717750,0.3170602708,0.2340419374
24,3.0358369437,0.4551364177,1.3817199514,0.2994479384,0.3288080732,0.2923129824
25,2.8730151175,0.3571611127,1.0261292761,0.2405147125,0.2833258267,0.2590035178
26,3.0981642863,0.4213286273,1.3053453060,0.2956424521,0.4104180254,0.2466790345
27,5.3364285528,0.4326697749,2.3089113406,0.3691872501,0.4115278798,0.3954843141
28,3.6454803240,0.4818573336,1.7566014285,0.3411894260,0.3650740734,0.3558024314
29,2.8754478709,0.3530249546,1.0151048540,0.2389655198,0.2541890339,0.2708674930
30,3.2055931935,0.4799589465,1.5385531320,0.3975176378,0.3235769700,0.3675186465
31,3.1273789372,0.4001124516,1.2513032536,0.3098476757,0.3286116300,0.2195783046
32,3.0431155569,0.2867200032,0.8725221023,0.2324436515,0.2349859977,0.2208165298
33,2.2035438259,0.3694080847,0.8140069042,0.2482253138,0.2266939288,0.1936929663
34,3.1718540752,0.4373126173,1.3870918072,0.3380527777,0.3165392410,0.3223662904
35,3.6549149836,0.4226393499,1.5447108928,0.3330979326,0.3564031347,0.2513430031
36,3.7387728198,0.4151337436,1.5520907570,0.3174937163,0.4166806169,0.3267650380
37,3.2175087702,0.4783062073,1.5389544169,0.3282646044,0.3737274460,0.2607602706
38,4.4797105175,0.4232840160,1.8961898586,0.3100355351,0.5442602255,0.3518600391
39,3.5610782565,0.5252321379,1.8703927457,0.4253942684,0.4194983728,0.2949055196
40,4.2731809666,0.4617124683,1.9729809315,0.3536914467,0.3244502393,0.4158936022
41,3.4560794113,0.4741876007,1.6388300040,0.3522176132,0.4595433787,0.4164666668
42,4.4008830455,0.3989648586,1.7557976821,0.2747379952,0.5043021445,0.2382134473
43,3.2337408674,0.3268612273,1.0569845085,0.2605902409,0.2968366072,0.2175975604
44,2.8622918913,0.3742585353,1.0712371710,0.2424508251,0.2498542636,0.3242487054
45,2.6075610632,0.3498242839,0.9121881816,0.2690518016,0.2319910771,0.2551429955
46,2.5646166728,0.3337673299,0.8559852590,0.2319931848,0.2602699816,0.2591289021
47,3.4958936331,0.5227598250,1.8275127438,0.4365275543,0.4497129392,0.3379128649
48,3.8752147356,0.3625654539,1.4050189896,0.2828250293,0.3642822040,0.2679615980
49,2.8551981394,0.3698572865,1.0560158362,0.2316081873,0.2391647837,0.2836520509
50,2.8732974515,0.3599961711,1.0343760810,0.2498388000,0.2645060187,0.2649285409
51,2.8458483757,0.3520314783,1.0018282107,0.2476557441,0.3325068684,0.2208083537
52,3.3237386537,0.3204846711,1.0652072894,0.2550192974,0.3224068980,0.2336737166
53,3.0064613916,0.4552160665,1.3685895289,0.3384792320,0.2936803728,0.3745874631
54,3.4972580634,0.3831073795,1.3398253720,0.3276406887,0.3293435231,0.2805744482
55,3.2769038322,0.3748409070,1.2283176046,0.3069379644,0.3424833356,0.2563959677
56,3.2467974239,0.4551665628,1.4778336235,0.3367858160,0.3793018563,0.3471336902
57,3.0751900341,0.4053486608,1.2465241620,0.3175701402,0.3367949105,0.2900083070
58,3.1475757603,0.4300172143,1.3535117601,0.3579193558,0.2913351713,0.3027318464
59,3.3378502359,0.4455563431,1.4872003448,0.3575932143,0.3761230940,0.3581787426
60,3.0509271809,0.4144659474,1.2645054245,0.3416764256,0.3382706387,0.3162982828
61,3.0579161179,0.3747417972,1.1459289816,0.3071258770,0.2515127229,0.2612150399
62,4.1992588457,0.4310915907,1.8102651753,0.3411509610,0.4186120190,0.3380818303
63,3.3460013153,0.3477735752,1.1636508400,0.2962053743,0.2510262674,0.2219133429
64,3.1024911679,0.3839262692,1.1911278595,0.2861613787,0.3684795164,0.2702422992
