k,inc_R_mean_s_batches,inc_X_jobs_per_s_batches,inc_U_A_batches,inc_U_B_batches,inc_U_P_batches
1,2.2921322237525517,0.31236283198868736,0.21641434294441506,0.1145221449615155,0.12362928672946452
2,2.3045741303125844,0.3253258136900201,0.20876597146741102,0.11798823349491186,0.12875394163606857
3,2.3018170559586384,0.3311988664123126,0.20734483501816384,0.12026653510844561,0.13104333941254534
4,2.304084030862685,0.3298029037079885,0.211820006591304,0.11953099653727126,0.1305616155421174
5,2.3123727877439526,0.33215126826841396,0.2130088956064327,0.12016854187110075,0.13146315648941334
6,2.3004560776478047,0.33189288971051445,0.2156638183764975,0.12033363237373691,0.13139678909202088
7,2.294219136020657,0.3338097602368876,0.21627254163371404,0.12107100044153851,0.13214712642091295
8,2.3019982619029933,0.33616143137011467,0.21744856690535042,0.1218165254352119,0.1331318669965461
9,2.3115066766845715,0.334177306203649,0.2190994173485587,0.12108434087056517,0.13228714209123046
10,2.31342367109036,0.33454579672079926,0.219150065015738,0.12125504323071654,0.1324528363823652
11,2.3074932444403653,0.33430319435372574,0.21934387843636707,0.12123638962960084,0.13240457971636957
12,2.3047326289216694,0.33485101463154826,0.21821376315718988,0.12147894945919234,0.1326108172055458
13,2.303822324422084,0.33439822626873933,0.21882569714069522,0.1213728134697434,0.13244387782210085
14,2.3057825133142065,0.33508570862689285,0.21986469676757303,0.12165574304035638,0.13271805627544797
15,2.3045891544470334,0.33496384251421385,0.21982918519927985,0.12159795458691153,0.1326535584587311
16,2.3021166947882503,0.333798687245957,0.22009366386299686,0.12113975947769046,0.13217604806614602
17,2.302329885476481,0.3341282711895307,0.21987215387048598,0.12115450738489378,0.13231012691436383
18,2.3034379041046633,0.3344122839249435,0.21975803791017645,0.12127993618861016,0.13240947162141636
19,2.306765739439333,0.33459133501221283,0.22025922090017572,0.12132714225923721,0.13244823404330483
20,2.3066869654659437,0.3340643859909963,0.2201048675963823,0.12111489070696144,0.1322285873764948
21,2.3071297712891705,0.3340870437567063,0.22100757976316232,0.12113549900852555,0.13224852306481275
22,2.3073002012446135,0.33399259129028497,0.22138667229894074,0.1210448327103796,0.1322132907261543
23,2.3091494322816986,0.33398737716673765,0.2228581835777878,0.12097695816072956,0.13219765001677536
24,2.308757446083986,0.33363307372790607,0.22261619730892865,0.12086186154795318,0.1320515503307351
25,2.3099949252893883,0.3344813242566766,0.22173508496450745,0.12114993611509978,0.13236967973989466
26,2.3089971770980138,0.33481046817973,0.22150656782467412,0.12129208608320324,0.13251234828735
27,2.307008490688678,0.33427788057243296,0.22132270775948706,0.12111641639830975,0.13231493712295267
28,2.305512042792806,0.33364040421741537,0.22158563899092207,0.12094833123015705,0.13206685143891367
29,2.30436168099436,0.33359864318612675,0.2214747713031196,0.12092613548883227,0.13207048176499664
30,2.304175241704036,0.33392845532526116,0.22151531029126315,0.12104215910762127,0.13219658114014454
31,2.3027903097479823,0.33393425908785446,0.22147166695255696,0.12099740419380065,0.13218694469258002
32,2.3026616324478235,0.3337982547895165,0.22171467715122242,0.12094197561524572,0.13213264577560813
33,2.3009349449957384,0.33341041385794407,0.22138986278178444,0.12083103855916685,0.1319870479703783
34,2.2999580282944745,0.33353721165225286,0.22154363355588616,0.12089772953574339,0.13204107417555108
35,2.2981430292472402,0.3335022903807836,0.22193515054531338,0.12090514156718764,0.13203629915896475
36,2.298425296261973,0.3333352919482559,0.22181196167536402,0.12087409136526575,0.1319545667653925
37,2.2983133167869076,0.3336145143374144,0.2213155159827736,0.12098970387198817,0.13207648756291124
38,2.296980802119458,0.3331988773183756,0.22127132328763902,0.12083492250203157,0.13191150725902084
39,2.2981407756413055,0.33332062307305643,0.22162354429669903,0.12089446630453608,0.13195343489284583
40,2.2985451853609984,0.33335071567064056,0.2215766516537549,0.12090491304372313,0.13198147089565865
41,2.297942465762845,0.3334454409131235,0.22198573890804263,0.12093603697566692,0.1320182047248104
42,2.2981081983478697,0.3338317633830125,0.2221286923725287,0.12108580670652701,0.13216707762773172
43,2.2976229586390264,0.3338816156343019,0.2218568870756494,0.12108657799254563,0.13216930525122964
44,2.2975677322784565,0.333596011748947,0.2219279022288993,0.12097519389796646,0.1320505498570187
45,2.297236583017866,0.3337029574209018,0.22208007950771416,0.12101271369852348,0.13208696996592026
46,2.2970897130898384,0.3337800389290404,0.2220873076741717,0.121044297547874,0.13212011147292166
47,2.2962448124037107,0.333862714692885,0.22181589428830656,0.12108421258431773,0.13215135581513437
48,2.2980971551571305,0.33410291614987786,0.22133287830663115,0.12118784502921191,0.13224505737255773
49,2.2989475438569578,0.33415641901153986,0.22162463636753135,0.12121907007055105,0.1322587481486902
50,2.2986428051469443,0.3341954147426782,0.2215643022850626,0.12124575311940462,0.13227530838464518
51,2.298851791772652,0.3340116781304581,0.2215754335915738,0.12114187476484865,0.13220416797060244
52,2.2992972190350924,0.33398933422930505,0.22143821926092785,0.12112842165862948,0.1322031815391392
53,2.2997033205860324,0.3341006414149965,0.22202114714158164,0.12115715428905201,0.13224874702431003
54,2.299444668118073,0.3340837824207864,0.22176984697742666,0.12114984871640513,0.1322504596935523
55,2.2994134222982425,0.334019113332617,0.22196235423659927,0.12112146581615044,0.13223824152162292
56,2.2997895465055684,0.33392279267897373,0.2219947440167316,0.12109600358584863,0.13219660896350185
57,2.2996177570723297,0.33393211248077914,0.2219016472185576,0.12110646321810897,0.13219919445839848
58,2.2989208331998956,0.3338176989592661,0.2218047188975636,0.12107884515956674,0.1321593957077096
59,2.298386375430531,0.3335842738615578,0.22159061975363975,0.12099118139823897,0.13205647953956903
60,2.2988932713982706,0.3335208370485877,0.22151335695444843,0.12096555178721044,0.13203609325098317
61,2.299803080802246,0.3336936988868347,0.2214666683208004,0.1210062051829081,0.1321041147096912
