idx,R_mean_s,X_jobs_per_s,N_mean,U_A,U_B,U_P
1,1.9646350259,0.3459706455,0.6797060482,0.2253592619,0.2584068499,0.1140621822
2,2.9337518185,0.5217889914,1.5307994025,0.3302541304,0.3550091432,0.2615417751
3,3.1231616738,0.5036589917,1.5730084595,0.3403698683,0.4822490807,0.1733260271
4,2.5343331694,0.4594984697,1.1645222130,0.3223591609,0.3452582302,0.1611244260
5,2.8308514874,0.5628987637,1.5934828024,0.3786446975,0.4377246319,0.2191929085
6,2.6007089329,0.4552478606,1.1839671778,0.2945252190,0.3501056643,0.1920109814
7,2.7916257881,0.5546013626,1.5482394659,0.3943317857,0.4449949799,0.2433193454
8,2.6548189401,0.4666355782,1.2388329713,0.3198445104,0.3572534470,0.1885299214
9,3.4123502140,0.6198888124,2.1152777218,0.4034751547,0.4843961341,0.2397201476
10,1.9509207802,0.3804802277,0.7422867826,0.2536760924,0.2614062731,0.1463628278
11,3.3307661705,0.4765022544,1.5871175890,0.3711244359,0.4250153469,0.2200144896
12,2.8292766596,0.5397621583,1.5271364763,0.3666551860,0.3560426162,0.2150332272
13,2.3060587193,0.4254135709,0.9810286744,0.2787951594,0.2754804795,0.1273050840
14,2.3121234649,0.3887524691,0.8988437057,0.2647626083,0.3236571916,0.1308476494
15,2.5343888357,0.4339156685,1.0997110259,0.2841531692,0.3362658650,0.1354836534
16,3.4598074587,0.5065959113,1.7527243123,0.3026933096,0.4704674849,0.2397497953
17,2.2533188006,0.4690833121,1.0569942463,0.3009193925,0.3091567318,0.2139621292
18,2.3878701790,0.4448871835,1.0623328385,0.3039925439,0.4026183046,0.1420115504
19,2.2938048277,0.4552848183,1.0443345143,0.3069344624,0.3279297530,0.1493397961
20,2.4668579204,0.4954099387,1.2221059311,0.2853676372,0.4393824493,0.2019381798
21,3.1096703432,0.5650747517,1.7571961969,0.3922219123,0.4615858776,0.2328275121
22,2.1311363498,0.5567880518,1.1865912563,0.3868867804,0.3933785342,0.1554187222
23,2.5769696641,0.5207856146,1.3420487302,0.3254551023,0.3476257740,0.1653350780
24,2.4949467086,0.5097592301,1.2718221132,0.3256841078,0.3980804810,0.1881173752
25,2.3132242787,0.4247805842,0.9826127604,0.2632539185,0.3125291187,0.1800003297
26,3.0270238747,0.4525245137,1.3698025069,0.3010078513,0.4446322601,0.1545304272
27,4.0173177275,0.4921349340,1.9770623948,0.4118122663,0.4846850060,0.2574374879
28,3.1743327320,0.4639962456,1.4728784700,0.2491284976,0.3498404010,0.2060106059
29,2.3519434444,0.5127646210,1.2059933888,0.3512213022,0.3312430477,0.2169741627
30,2.7093413990,0.5363931252,1.4532721003,0.4318613046,0.4033708417,0.2200987291
31,2.5162412366,0.4201120891,1.0571033626,0.3218101886,0.3222646987,0.1461371876
32,2.6754012030,0.3318551978,0.8878457955,0.2460979097,0.2626371186,0.1359971348
33,2.1895654647,0.4983218834,1.0911083863,0.3247102421,0.3250479917,0.1516469858
34,2.6228749203,0.4752159243,1.2464319297,0.3672289225,0.3995936069,0.2116798056
35,2.9640483329,0.4589376623,1.3603134127,0.3509840002,0.3478086363,0.1519691997
36,3.6306167014,0.4813951268,1.7477611872,0.3716966413,0.4928080665,0.2274424312
37,2.6006507756,0.5238873357,1.3624480059,0.3322865923,0.4565398402,0.1418036250
38,4.7444880849,0.5418850279,2.5709670584,0.3896230184,0.6409307407,0.2530671180
39,2.5566810054,0.5682571365,1.4528522271,0.4078622477,0.3853593928,0.2076921183
40,2.6370073518,0.5851203688,1.5429667141,0.3775333122,0.4272277116,0.2959805125
41,4.1231029108,0.5020389972,2.0699584509,0.3788067770,0.6329097523,0.2464979168
42,3.1854098628,0.4612183500,1.4691694811,0.2682760618,0.4565365920,0.1547980169
43,2.6499727939,0.3688724176,0.9775018710,0.2583905564,0.3454890069,0.1401453776
44,2.1772568529,0.3963708360,0.8630011191,0.2549104082,0.2904243951,0.1938331225
45,2.2213020415,0.4128854305,0.9171432497,0.3082826331,0.2581430298,0.1660002857
46,2.3313457042,0.4135922726,0.9642265680,0.2494140623,0.3323603002,0.2231767252
47,3.2755955181,0.5252217959,1.7204141606,0.3756891343,0.4410182032,0.1417066327
48,3.1537468419,0.4365148961,1.3766574750,0.2945403988,0.3871057850,0.1881126192
49,2.2557962726,0.3865700326,0.8720232386,0.2525574627,0.2915121885,0.1895442634
50,2.2558862130,0.4741027394,1.0695218334,0.3187890421,0.3385255785,0.1858593356
51,2.5128931141,0.3932715668,0.9882494123,0.2649301422,0.3610064274,0.1347558951
52,2.9397740478,0.3856688443,1.1337792596,0.2836304607,0.3878346056,0.1649282117
53,3.2517240296,0.5194020446,1.6889521094,0.4055960575,0.3920584170,0.2403882829
54,2.7061539335,0.4427074782,1.1980345834,0.3503819614,0.3725563161,0.1914016195
55,2.7938763837,0.4151593106,1.1599037933,0.2680278392,0.3548133879,0.1575793049
56,3.3681643902,0.5280959926,1.7787141168,0.3805641777,0.4855475432,0.2225975689
57,2.6453517288,0.4669760373,1.2353158677,0.3538953904,0.3385120786,0.1978589825
58,3.0550315154,0.5450234419,1.6650637916,0.4082711233,0.3739181600,0.2155927367
59,2.9939640304,0.5328585857,1.5953594388,0.4297934946,0.4453929608,0.2411366980
60,2.7284732681,0.4250577459,1.1597586972,0.3869768789,0.3646559265,0.2026219320
61,2.7161951851,0.4716250240,1.2810256193,0.2952733623,0.3074352063,0.1684525640
62,2.8682703265,0.4460796767,1.2794771000,0.3110966172,0.3968876437,0.2022671999
63,3.0591872991,0.4274756048,1.3077279408,0.3485707036,0.3163799246,0.1606364997
64,3.1433253231,0.4762533397,1.4970191829,0.3184968932,0.4468599828,0.1926849156
