k,inc_R_mean_s_batches,inc_X_jobs_per_s_batches,inc_U_A_batches,inc_U_B_batches,inc_U_P_batches
1,3.267163158537941,0.3123294862435772,0.22852047054180716,0.22762376584550928,0.21101043484262821
2,3.2984546402713377,0.32529190363729155,0.22127876279344721,0.234214528057045,0.21918975008240638
3,3.33228672377872,0.3311403142570111,0.2195028262868285,0.23875305781627731,0.22293838116149897
4,3.330133843088177,0.3297912990723447,0.2240917005362336,0.2372629137709382,0.22231124597575017
5,3.3476014597810804,0.33214198455989896,0.2251254512692736,0.2385705789633561,0.22407344068854215
6,3.318837249059502,0.3318860427625295,0.22769864970714768,0.23887075045605277,0.2237464588286525
7,3.3035742887609985,0.3337984215998867,0.22879233729273912,0.24026612523890623,0.22495535238706504
8,3.310086313272462,0.3361230440649447,0.23032306087619767,0.24204033238937772,0.22638769817681564
9,3.334323314328806,0.33416620952288595,0.23203304643289022,0.24069873494396823,0.22505651429505402
10,3.334141962590504,0.33451298010590996,0.23193040837756068,0.24094571043057367,0.22524986980274067
11,3.3182132157665234,0.33429402438920996,0.23207580781464274,0.2409480930236411,0.2252649572703179
12,3.306155309768918,0.33484260883074213,0.230867914949072,0.24145312345807998,0.22566568440576926
13,3.2999878397059392,0.3343904670679952,0.23165098609709328,0.24129984428938683,0.22539628283802543
14,3.302065412628172,0.33507850365477326,0.23267125215510667,0.24192268493024752,0.2258755333500436
15,3.296316773972578,0.3349571178735689,0.23246566991378792,0.24185386693109998,0.22586913084345211
16,3.289985108021772,0.33377762630395863,0.2326918783218377,0.24093477929504345,0.2252600584998962
17,3.2897305838990825,0.33412028287018636,0.23247387764130095,0.2410498492167483,0.22551750749088975
18,3.293126190326213,0.33440867902050997,0.2323708588716631,0.24126039155345783,0.22559289890469195
19,3.2994733349686443,0.3345879198395916,0.23290537684609128,0.2413954487833698,0.22576166598219807
20,3.2981578011696415,0.3340552471685314,0.23270008293024183,0.24099140709964395,0.22540736539382497
21,3.297569255486647,0.33408421838440355,0.23365913814622724,0.24103029989973057,0.22534640679372264
22,3.2975879931324026,0.33398999687103864,0.23397553020375464,0.24082892320151375,0.22529497909264917
23,3.301491066736429,0.33398452374329574,0.2354683204245497,0.24071158025958342,0.22525806561642892
24,3.30199632010406,0.33362741722548944,0.23522572973102499,0.2404804057321597,0.22506293944594344
25,3.303398433181512,0.33447430256048444,0.23432208378858774,0.24102445078142798,0.22556796577630547
26,3.3001438026417063,0.334808492461267,0.23400696825010725,0.24126853051440883,0.22581441753763373
27,3.2968573877060274,0.33427616371553637,0.23385386206497097,0.2408764082974683,0.22544651979954314
28,3.291746755135157,0.33363526166758606,0.2342224411702495,0.24052503021079125,0.22504825508663545
29,3.2894005154287043,0.33359721000288245,0.23418325281565763,0.2405040833461775,0.22507240945069315
30,3.291751641956575,0.33392706991479165,0.23419119090751905,0.24060034921938994,0.22521024074551346
31,3.289287346378438,0.3339299795799305,0.23416955163778294,0.2404941835805005,0.22523516609669514
32,3.289145728520183,0.3337968808543433,0.23436618433704776,0.24040385625009994,0.22513277318673391
33,3.2843927092608367,0.3334086932630358,0.2340740847422812,0.24019864164304278,0.22490507047563804
34,3.281787573740427,0.3335358725270356,0.23427468879154426,0.24031909517770486,0.22497264402257255
35,3.2786063061732715,0.33350107071265644,0.23465032138667563,0.24032154396302877,0.22496212053369885
36,3.2778972762279013,0.3333320212594326,0.23452370041437087,0.24020605134197057,0.22486676714314008
37,3.276970056186916,0.3336008648779482,0.23400159213950725,0.24039815428700678,0.2250974499877944
38,3.27380881126813,0.3331960572399319,0.23396061710690672,0.2401020641986916,0.22479757877654644
39,3.275674563052174,0.33331801829564456,0.23435204886272482,0.24017943785487889,0.22488746824037298
