k,inc_R_mean_s_batches,inc_X_jobs_per_s_batches,inc_U_A_batches,inc_U_B_batches,inc_U_P_batches
1,2.900090032734107,0.3123294862435772,0.22912527927133425,0.11474871517424853,0.21028934861073026
2,2.921058095520224,0.32528352397541777,0.22189037100348336,0.11809972685799819,0.21820249684686718
3,2.9294133716619455,0.3311677227497775,0.22018586373853558,0.12049599065654758,0.22244815166572265
4,2.9338356198123616,0.32979341174453475,0.22492478158815038,0.11977216681113656,0.22184534382846696
5,2.9462599574403248,0.33214367469765094,0.22600373279423133,0.12029341215900238,0.22353837259436463
6,2.9268582094292754,0.33188745121065616,0.22880800966170156,0.12047529660024092,0.22358645927223544
7,2.920734301526384,0.33380151111822987,0.22949442683472415,0.12118701654908658,0.22464504086021955
8,2.9263908003934715,0.33614478167406925,0.2307122758880865,0.12192423193063262,0.2262920525178524
9,2.9415505121305716,0.33417027400152,0.23250246043844472,0.12119337062743704,0.22485717210368705
10,2.9432721788220317,0.3345341737350815,0.232374809466658,0.12139309449936249,0.22510878761405034
11,2.931270790440855,0.33429710986077227,0.2326554620588861,0.12136901596863449,0.2251249071911384
12,2.9250595405803836,0.33484635918700034,0.2315488707160677,0.1216381051301156,0.22556906407494726
13,2.9215803272861858,0.33439392893531045,0.23225093093272117,0.12150969094831855,0.22530756066846097
14,2.9216098842760876,0.33508171824585176,0.23334660400171042,0.12178880066518384,0.225835230032751
15,2.920778849022933,0.33496011815857546,0.23313300970186593,0.12171626375735442,0.22577728613177253
16,2.9176382595774646,0.333790811140365,0.233349368329226,0.12125227254320466,0.2251263201154787
17,2.9185050822571794,0.33412311023146346,0.23304179356793517,0.12127564766509336,0.2254271628607698
18,2.9196413088586186,0.3344097690707326,0.232989221047436,0.12140633764529363,0.22548161194371616
19,2.92409055759656,0.3345889525187499,0.23352956665091157,0.12146942339419402,0.22557979850596901
20,2.923994485559507,0.3340603282176844,0.23340719780431168,0.12123927861602324,0.22520806884306133
21,2.9248454157972055,0.33408489191044227,0.23433216091421732,0.12122718869495896,0.2252907061918688
22,2.924792082815996,0.3339906397822574,0.23464030904082603,0.12113508814442389,0.225198274015757
23,2.9285139595490723,0.3339851387018528,0.23621740235699268,0.12105826060949809,0.22517887450872692
24,2.9273749736354113,0.3336312325387707,0.23590519615026675,0.12094261980300523,0.22496526793943125
25,2.9290586949522526,0.3344772550755184,0.2349851453522583,0.12121364633316391,0.2254980913385036
26,2.9263631915433734,0.3348086600638214,0.23467070466960188,0.12135907421899618,0.22573411568432833
27,2.9236315318681574,0.33427632511058875,0.23455015276195254,0.12116939823966957,0.2254146894350333
28,2.922569799719064,0.3336375898728695,0.23487310019658098,0.12098858087943813,0.22504753028923408
29,2.92098684111803,0.33359714081645564,0.234831758845319,0.12096826243840003,0.22505546812528623
30,2.9208444258979833,0.33392700303457906,0.2348845601597381,0.12107772602449958,0.2251819118459419
31,2.919184402247182,0.33393208241681477,0.23488401207614892,0.12101672442805068,0.22518517014670114
32,2.9194914126260416,0.33379687326442803,0.23510735899213084,0.12094710477487326,0.22507968990298027
33,2.917082852471911,0.333408685903118,0.2347491451336525,0.1208416678423971,0.2248881470535152
34,2.916063212671035,0.333535865383586,0.2348966522671506,0.12092342427519578,0.22497699656705616
35,2.913282450517166,0.33350106377330535,0.23525837321036178,0.12092436057078153,0.22497042348543436
36,2.913726639131157,0.333332966039656,0.23511526115042308,0.12088098742023529,0.2248454614588704
37,2.913717674703848,0.3336096877320306,0.23457609674964378,0.12098859070740653,0.22504693219149924
38,2.911975609539223,0.333197195755924,0.234556634073862,0.1208220026269828,0.22478186587538107
39,2.9136541976022565,0.3333191276189189,0.2348968224446339,0.12087181715242225,0.2248567996450479
40,2.9138705085492282,0.33334830147966266,0.23482507037027794,0.12087296138565098,0.22486717278411983
41,2.9134241410109056,0.3334406023970055,0.2352234311621686,0.1209044639397848,0.22492363966456214
42,2.9139902011089416,0.3338312597549412,0.23536908854179117,0.12105061038460625,0.22518783582280266
43,2.914004669504515,0.3338794970723605,0.2350638283291616,0.12104459979356717,0.22521224873730997
44,2.9143721970310166,0.3335948995939227,0.23514454338598456,0.1209440026782393,0.22503078771352147
45,2.914177277392606,0.33370186998043355,0.2353466208396405,0.120971444069673,0.22508805394693152
46,2.9139069288906367,0.33377813012065444,0.23533169522610523,0.12101005470568937,0.22511007517750284
47,2.9119701199360053,0.3338616219982641,0.23503781175092037,0.12103955336638636,0.22518701960387597
48,2.9139959003295317,0.3341006098674519,0.23455210319872263,0.12114514195150049,0.22530143890884002
49,2.9158137846585,0.33415522225746935,0.2348518435527713,0.12117960588840143,0.2253284441203603
50,2.915501174224915,0.3341943788864251,0.23478815827471472,0.12120858328702204,0.22536660830571648
51,2.9156885148978104,0.3340106625851119,0.23480831655446854,0.12110347777041024,0.22522433146436263
52,2.9160171081698105,0.3339874141658266,0.23466319744173805,0.12109444694963661,0.22524995845065923
53,2.9163858061310104,0.33409970321800386,0.235316054707224,0.12112416167052742,0.22533747920239186
54,2.9160112738680644,0.334082158995693,0.2350598602945538,0.12111433450374463,0.2253416052415164
55,2.9161374787042287,0.33401656952849373,0.2352438439799395,0.12107784429320798,0.22531302074186385
56,2.9167944698077157,0.3339202685462364,0.23529707071288009,0.12105357337875644,0.2252695175842878
57,2.916441341013477,0.3339312686765855,0.2352173403079412,0.12105993322678293,0.22527417445744333
58,2.915287672231249,0.3338162384943248,0.23515317051074838,0.12103250941863136,0.2252204548777834
59,2.9146441325262686,0.33358334681751367,0.23492103579317208,0.1209463573618691,0.225062714927654
60,2.915605782599667,0.33352081623089086,0.23482683955375944,0.12092081273395075,0.22500876157713343
61,2.917330091095789,0.33369281971897313,0.23477177768564952,0.1209652697219746,0.225116292312573
62,2.9171865769459435,0.33355001941721374,0.23483916249307113,0.12094698898215508,0.2250107471740218
63,2.918673815573121,0.33348378237485005,0.23481947254203275,0.12090921273678322,0.22494624335821864
64,2.9185129236399305,0.3336190109573478,0.23476870940299407,0.1209467583156948,0.22503878338825017
