idx,R_mean_s,X_jobs_per_s,N_mean,U_A,U_B,U_P
1,1.9324027776,0.3004971907,0.5806816061,0.2021866617,0.2265880678,0.0990701545
2,2.8567588341,0.4556504203,1.3016833634,0.2876242357,0.3067571970,0.2283904446
3,2.9232627532,0.4377353505,1.2796154458,0.3038215441,0.4183881879,0.1506394812
4,2.4268247619,0.3994861497,0.9694828801,0.2874090830,0.3008410962,0.1400809378
5,2.6616976048,0.4888964539,1.3012945204,0.3212283907,0.3801785226,0.1903763920
6,2.4963018164,0.3965449784,0.9898959499,0.2544959277,0.3049605613,0.1672517261
7,2.5929377695,0.4825091085,1.2511160915,0.3340698908,0.3871503850,0.2116904291
8,2.5418104433,0.4061269602,1.0322977489,0.2753838782,0.3090794327,0.1640832535
9,3.4414504354,0.5378487016,1.8509796482,0.3460689606,0.4227366666,0.2079940266
10,1.9381699171,0.3304445384,0.6404576635,0.2237821020,0.2270296035,0.1271151391
11,3.2667536877,0.4160046016,1.3589845665,0.3369360469,0.3710545721,0.1903624949
12,2.8475628303,0.4693464992,1.3364936457,0.3191454766,0.3095944258,0.1889195587
13,2.2620513851,0.3700330531,0.8370337804,0.2425253056,0.2396183147,0.1107324546
14,2.3014746161,0.3371886516,0.7760311224,0.2253829637,0.2803323331,0.1134921215
15,2.4134530886,0.3791619642,0.9150896137,0.2426287361,0.2942785383,0.1183876312
16,3.2754588834,0.4429606109,1.4508992680,0.2805359690,0.4113704037,0.2096339773
17,2.0856193482,0.4059971698,0.8467555526,0.2556208390,0.2661102457,0.1846432208
18,2.3383520028,0.3862023484,0.9030770350,0.2590812819,0.3508379519,0.1237959200
19,2.1881468101,0.3943201794,0.8628304426,0.2600360296,0.2840881034,0.1293425408
20,2.4075444675,0.4305991455,1.0366865905,0.2516626435,0.3819013154,0.1755201115
21,2.6434877603,0.4920093505,1.3006206961,0.3049187887,0.3951292347,0.2027224056
22,2.1235381246,0.4850167682,1.0299515983,0.3321605841,0.3452508065,0.1360996151
23,2.4658589284,0.4564809004,1.1256175038,0.3107719701,0.3085578215,0.1442474246
24,2.4858434061,0.4430716528,1.1014067464,0.3115736959,0.3414829018,0.1644719562
25,2.2082289020,0.3678335939,0.8122607731,0.2230490268,0.2743832635,0.1544253112
26,2.7664524149,0.3931842832,1.0877256098,0.2670610157,0.3863269528,0.1354773709
27,3.9384406758,0.4330913617,1.7057046353,0.3672650912,0.4152518843,0.2229199109
28,2.8444792479,0.3982479722,1.1328080924,0.2234063289,0.3106435853,0.1798126330
29,2.2961328924,0.4457546407,1.0235118924,0.3065011358,0.2879549790,0.1884129345
30,2.7601567257,0.4696959464,1.2964344254,0.3960330478,0.3509587815,0.1927308088
