idx,R_mean_s,X_jobs_per_s,N_mean,U_A,U_B,U_P
1,2.0740976266,0.2934800901,0.6087063584,0.2189810208,0.1970587058,0.0977525442
2,3.0623169624,0.4496300699,1.3769097899,0.2981019505,0.3509602682,0.2226033700
3,2.7618677074,0.4111955145,1.1356676129,0.2744586200,0.3427372481,0.1488678159
4,2.6513305526,0.4550006628,1.2063571587,0.3012406984,0.3540835536,0.1605558531
5,2.4200425264,0.4433026457,1.0728112546,0.3334992242,0.3786048929,0.1698980075
6,2.4335975755,0.4817440323,1.1723711091,0.3395857604,0.3300451752,0.1912825526
7,2.5295258030,0.4096629381,1.0362529724,0.2812978541,0.3280830941,0.1814779886
8,2.4378741081,0.4122138408,1.0049254496,0.2637858279,0.3234036263,0.1779893773
9,2.5242949877,0.4860246197,1.2268695113,0.2955918815,0.3947854206,0.1819392624
10,2.6403889367,0.3759887336,0.9927564925,0.2877366084,0.2611196332,0.1430938923
11,2.6848552538,0.3847847547,1.0330913703,0.2702048313,0.2863092131,0.1787985888
12,2.1754071803,0.4728219057,1.0285801686,0.2921052545,0.3504656299,0.1884545506
13,2.1271821467,0.3673912525,0.7815081132,0.2463701543,0.2463350658,0.1091521993
14,2.2690646342,0.3993064469,0.9060521369,0.2706452939,0.3236052986,0.1366537331
15,2.3469615129,0.3407908354,0.7998229746,0.2463409008,0.2655142868,0.1051596587
16,2.6958696133,0.4193224695,1.1304387038,0.2962582814,0.3931901725,0.1976354669
17,2.1151236853,0.3695018417,0.7815420970,0.2268352280,0.2501873108,0.1510635156
18,2.2737998246,0.4603582013,1.0467623974,0.2773391326,0.4023147614,0.1719005379
19,2.0891579191,0.3576324613,0.7471506887,0.2360407904,0.2680620021,0.1078549729
20,2.4006627427,0.4252058794,1.0207759128,0.2433200053,0.3567088920,0.1826457709
21,2.6029159239,0.5181511379,1.3487038477,0.3467906900,0.4343416110,0.2118036811
22,2.0027168120,0.5018768592,1.0051172235,0.3246791247,0.3178059820,0.1465598352
23,2.2783145495,0.4250823163,0.9684712261,0.3080910330,0.3177965979,0.1340488379
24,2.4375327970,0.4553232923,1.1098654582,0.2856235001,0.3245984901,0.1671045733
25,2.2450018251,0.3559872205,0.7991919597,0.2159470209,0.2857913581,0.1484434172
