idx,R_mean_s,X_jobs_per_s,N_mean,U_A,U_B,U_P
1,3.4571868690,0.3122062414,1.0793553184,0.2622715041,0.2247678024,0.2478598650
2,3.6524677535,0.3778044173,1.3799184512,0.2717340989,0.3632316719,0.2631071383
3,3.4990111724,0.3695838115,1.2931778854,0.2881305308,0.3289667565,0.2529331075
4,3.8102051147,0.2455135877,0.9354571275,0.1826733272,0.2487536725,0.1998182309
5,4.4221650011,0.4224502443,1.8681446849,0.2914359123,0.3283559310,0.2801442829
6,3.7475900526,0.6059422359,2.2708230957,0.4324773715,0.3882686567,0.4005551904
7,2.8149786440,0.2030080441,0.5714633087,0.1400939298,0.1439974332,0.1455602421
8,2.8230084770,0.3460335203,0.9768555612,0.2612569151,0.2549033454,0.2070338212
9,3.4239816859,0.3549879854,1.2154723608,0.2820659380,0.2358167852,0.2254825719
10,3.4181132263,0.2513084786,0.8590008347,0.1834771308,0.2212230867,0.1841166943
11,3.4453042127,0.2288075573,0.7883116411,0.1694635386,0.1311595202,0.1562295700
12,2.9976939637,0.3861643328,1.1576024895,0.2799350363,0.3031619605,0.2844027876
13,4.7640825981,0.3166832550,1.5087051843,0.2375764966,0.2898129005,0.2611585783
14,3.1105385099,0.2230336730,0.6937548290,0.1775080585,0.1313127285,0.1597794186
15,3.0349227118,0.4189564256,1.2715003714,0.3207864500,0.2001603410,0.2731422794
16,3.8851383038,0.3967974947,1.5416131456,0.3126127499,0.3904294832,0.3216058042
17,3.4886964824,0.2944259162,1.0271626581,0.2146766699,0.2029873540,0.1943081689
18,6.0316764389,0.4908289586,2.9605214653,0.3499610753,0.7348483900,0.3588257832
19,3.2184259562,0.3666640548,1.1800811112,0.2733289173,0.2360495516,0.2652015545
20,3.0762298749,0.3040939868,0.9354630069,0.2274260722,0.2363498388,0.2080154495
21,3.7608546807,0.2161233713,0.8128085924,0.1580992302,0.2394385509,0.1687010571
22,3.6198062751,0.5130691469,1.8572109177,0.3714494496,0.4152095290,0.3758978149
23,4.0247098827,0.3780570735,1.5215700398,0.3227773772,0.2891326781,0.3057573389
24,3.8613822581,0.4531536318,1.7497993939,0.3240322828,0.3216256407,0.3348079330
25,3.3299239105,0.3442039368,1.1461729193,0.2511334613,0.2836577820,0.2081498913
26,3.3495424589,0.2606225086,0.8729661584,0.1858030637,0.2310610120,0.1691974711
27,2.9635359930,0.2532712846,0.7505785680,0.1731880323,0.1524330444,0.1879389298
28,4.3155958059,0.4114715856,1.7757450491,0.3124559420,0.3521826434,0.3006768875
29,4.1778251789,0.2374375140,0.9919724242,0.1658200692,0.1702916479,0.1853144050
30,3.9321083865,0.2746960389,1.0801345983,0.2142264803,0.2701851197,0.2060765623
31,3.5507635737,0.4416510000,1.5681982831,0.3218367465,0.3276824839,0.3087352995
32,2.9257860957,0.3368667350,0.9856000093,0.2646024385,0.2578456549,0.2313625933
33,2.9949019266,0.3023592726,0.9055363681,0.2266886244,0.2042882749,0.2195023446
34,3.6667197692,0.5201853964,1.9073740766,0.3941149862,0.3126777006,0.3366172964
35,4.6717418623,0.3147685878,1.4705175884,0.2525685674,0.4041566972,0.2195948983
36,4.1078620295,0.2235378989,0.9182628472,0.1829699257,0.2539883112,0.1547328659
37,4.2626525250,0.3869109201,1.6492668104,0.3080873618,0.3687735845,0.2639921815
38,2.6929321568,0.2474032740,0.6662402323,0.1881905890,0.1792746415,0.1797213511
39,3.8295313777,0.4262008220,1.6321494209,0.3129319667,0.4390114354,0.2941073337
40,4.1375094304,0.4269130395,1.7663567268,0.2943093416,0.3795088357,0.3254988070
41,2.9806687961,0.3918542004,1.1679875876,0.3019409524,0.3380815404,0.2661873434
42,4.9755156334,0.4514872572,2.2463819067,0.3394667709,0.5275420563,0.3141405383
43,4.1749127051,0.5264062752,2.1977002465,0.3965384355,0.4701899594,0.3507175362
44,3.5370559756,0.2094878590,0.7409702836,0.1512142644,0.1233973682,0.1473198811
45,3.9342609231,0.4703133703,1.8503355144,0.3763640612,0.4355995662,0.3463956785
46,3.4619620219,0.3472145984,1.2020437533,0.2172192776,0.2328968954,0.2482117266
47,3.7208063174,0.4238534906,1.5770767454,0.3148619213,0.2796344307,0.2997937365
