k,inc_R_mean_s_batches,inc_X_jobs_per_s_batches,inc_U_A_batches,inc_U_B_batches,inc_U_P_batches
1,2.4361734517512432,0.31509219254998516,0.2187926613646219,0.25216145705730625,0.12394968359470648
2,2.41435232428658,0.3270139611137147,0.23075223002813358,0.2548878366147368,0.12764012333818692
3,2.4368831273696543,0.3314403793633678,0.2320108003581073,0.25918902774946556,0.13110769171361703
4,2.4683940428945577,0.3310643197475669,0.23088525392239556,0.2620975123686614,0.1327403619835852
5,2.485730201717011,0.3339651630490189,0.23338425853784708,0.26431009738416844,0.13402679475657306
6,2.490263682423166,0.33286192580589335,0.23327867173227132,0.264640310919611,0.13321379991689927
7,2.4939810305871566,0.33246213944490116,0.2332688376630118,0.2639056475305601,0.13338197734642285
8,2.4981589602137926,0.3327370345456132,0.233072096810873,0.26505363557485917,0.1335183838402681
9,2.490193186383271,0.33384564052562704,0.23322944809559132,0.2654237914266149,0.13438299031332257
10,2.4892263849701197,0.333529252001256,0.23300102827173808,0.2656393865077528,0.1341215183887152
11,2.482362548072831,0.33341960151346156,0.23319180967727152,0.2648328492506117,0.13449686274859363
12,2.4806095602984612,0.33350292487624184,0.23329946752028854,0.2646992542094633,0.13464214005463196
13,2.476756766847404,0.33375421698800084,0.23336653655606773,0.26477645444556425,0.13431939649471253
14,2.4807510228580787,0.3349871071807983,0.23413365898563604,0.266788615318851,0.1351067213999381
15,2.480629993651825,0.33499805388881687,0.23395223771899004,0.2671554395566835,0.13463463997115324
16,2.480920302780673,0.33504883794416385,0.23461255974202863,0.2665006042509344,0.1347179267382212
17,2.4794303085419753,0.33538117791252753,0.23492121135461458,0.2668308775840893,0.13465937324623672
18,2.4805018733397053,0.3347988280681725,0.2345138720616698,0.26696482568493773,0.13444584018974598
19,2.480759125089688,0.33486277741571974,0.23430913234997883,0.267332461880115,0.13435013255932338
20,2.4854344170812075,0.3349475289020575,0.23454954030490915,0.2674739423744854,0.134419113047142
21,2.4853033674825262,0.33467674677678927,0.23448876177350536,0.2672447619978091,0.1345421569946524
22,2.482090855618277,0.33449506827993025,0.23465134208981733,0.2668340285539068,0.1343031388316628
23,2.481673153047855,0.33452998386659116,0.23474615921265157,0.26708548250539504,0.134144441497238
24,2.48208278792004,0.33442976567135124,0.234418694152556,0.26733692071423,0.13412744014085892
25,2.480965263051451,0.33470193294912043,0.23452036917925687,0.2673253464642982,0.1342152250028708
26,2.4787130783300033,0.3346842971013299,0.23452292751210418,0.26699390098555786,0.13419924570049868
27,2.4794653076160813,0.33469656127971875,0.23460852977153263,0.2670330895939907,0.1342446241846732
28,2.480346697985815,0.33447833808905914,0.23447136387199755,0.2670322619140673,0.13417838460865467
29,2.4789662274798725,0.3346095441138325,0.2345099347250203,0.2671681048356332,0.13401470320425615
30,2.476453344873142,0.33486288098523703,0.23447808354679284,0.26736927303020663,0.1338190345405326
31,2.4743534341174915,0.33479011709181017,0.23434825638637796,0.2672148664808198,0.13376309914534779
32,2.471148339586177,0.33469384757235887,0.2340876876082169,0.2671989017769228,0.1336753096952283
