idx,R_mean_s,X_jobs_per_s,N_mean,U_A,U_B,U_P
1,2.3707874770,0.4041983994,0.9582685035,0.2932848984,0.1555363280,0.2683106687
2,2.6018142492,0.3938033032,1.0246030457,0.2921566363,0.1653677546,0.2829690732
3,2.5687277783,0.3957693174,1.0166236393,0.3043059821,0.1627460838,0.2936407778
4,2.3807067675,0.3867336497,0.9206994169,0.2872821198,0.1531186893,0.2581436869
5,2.5573611791,0.3933596084,1.0059625919,0.2972948499,0.1570166568,0.2813079420
6,2.5334822125,0.4069642797,1.0310367637,0.2975380057,0.1614229611,0.3021000080
7,2.4798185106,0.3783932726,0.9383466417,0.2796727516,0.1567391377,0.2724931348
8,2.6278980128,0.4072366364,1.0701763475,0.3024381639,0.1636012272,0.3060686203
9,2.5050900759,0.3904529618,0.9781198397,0.3015877259,0.1568191429,0.2607213838
10,2.6332670273,0.4027882725,1.0606490770,0.3082084469,0.1639153618,0.2804556579
11,2.3950429998,0.3887170914,0.9309941487,0.2861615295,0.1587546552,0.2766112068
12,2.4119677012,0.3798394459,0.9161604751,0.2793864904,0.1525494808,0.2620681231
13,2.6484429918,0.3723583226,0.9861697899,0.2836071125,0.1499650118,0.2863345332
14,2.4244698767,0.3877738889,0.9401461127,0.2884023007,0.1542642204,0.2792136621
15,2.5139089632,0.3776486903,0.9493744274,0.2872502547,0.1535993151,0.2652455903
16,2.5240917695,0.3725986812,0.9404732644,0.2765037279,0.1488963139,0.2724856836
17,2.5213321645,0.3871221424,0.9760635093,0.2881998311,0.1571884672,0.2709354459
18,2.5027570855,0.3821520302,0.9564337012,0.2883284696,0.1541141924,0.2706308172
19,2.4819523002,0.3931865941,0.9758703715,0.2968026082,0.1596125001,0.2828969201
20,2.4892147981,0.3904270048,0.9718566779,0.2930869352,0.1552948515,0.2747003064
21,2.4270493468,0.3968815918,0.9632512083,0.2920065652,0.1596693115,0.2823731263
22,2.3979351239,0.3796025814,0.9102623630,0.2861664462,0.1520657528,0.2564305018
23,2.5272092820,0.3840853482,0.9706640571,0.2853864550,0.1507713610,0.2709406716
24,2.5966123042,0.3751924662,0.9742293742,0.2861057075,0.1466927003,0.2717825642
25,2.4255545711,0.3709981501,0.8998762590,0.2781814047,0.1542496776,0.2542315481
26,2.5234613904,0.3875383328,0.9779380202,0.3051764700,0.1418421585,0.2703226547
27,2.5142775543,0.3648265378,0.9172751752,0.2736242793,0.1563825638,0.2565341224
28,2.5497818583,0.3868574288,0.9864020537,0.2983211080,0.1422612178,0.2808194156
29,2.5238421886,0.3901525506,0.9846834672,0.2927862288,0.1561043954,0.2800995493
30,2.4081706624,0.3669448634,0.8836658547,0.2746911601,0.1453230237,0.2653293767
31,2.4218142066,0.3924777348,0.9505081540,0.3001184830,0.1547145962,0.2663898155
32,2.4105240159,0.3967025149,0.9562609393,0.2965400055,0.1580490738,0.2809403936
33,2.4781666984,0.3684130822,0.9129890317,0.2834940535,0.1410075720,0.2590432026
34,2.4933307988,0.3656121325,0.9115919903,0.2736690339,0.1501042274,0.2598473556
35,2.5051543143,0.3655783305,0.9158301318,0.2821270107,0.1414835253,0.2602402933
36,2.4501695086,0.3807922140,0.9330054718,0.2800369521,0.1494975408,0.2688470853
37,2.5250113763,0.3640686893,0.9192775822,0.2741561353,0.1509065565,0.2644490112
38,2.4232375475,0.3825100850,0.9269128002,0.2924744068,0.1498152222,0.2503452631
39,2.4918655194,0.3890079881,0.9693555924,0.2923014524,0.1539729472,0.2741817882
40,2.6076330310,0.3915502001,1.0210192350,0.3075604527,0.1605465347,0.2877365774
41,2.4272246210,0.3656406322,0.8874919448,0.2740792055,0.1549257512,0.2527296817
42,2.5804839049,0.3851611424,0.9939021287,0.2923336015,0.1556714303,0.2724894622
43,2.4643473118,0.3928856174,0.9682066151,0.2900054393,0.1608144333,0.2840000076
44,2.4763062626,0.3779428521,0.9359022516,0.2784645555,0.1517788964,0.2708464280
45,2.5025958910,0.3741704923,0.9363975365,0.2881395136,0.1443338997,0.2640794313
46,2.5430264032,0.3883946310,0.9876978014,0.2934437713,0.1571713578,0.2755998385
47,2.4705412796,0.3729575911,0.9214071244,0.2831331407,0.1500593453,0.2626750513
48,2.4206897709,0.3678730886,0.8905066226,0.2770763553,0.1441726524,0.2534387839
49,2.5942503808,0.3835560384,0.9950403987,0.2919960971,0.1620259924,0.2633216672
50,2.4630434567,0.3750744372,0.9238246382,0.2824380297,0.1442802275,0.2639855873
51,2.5342984776,0.3785999341,0.9594852367,0.2944929108,0.1434336991,0.2641961651
52,2.4087184032,0.3901440929,0.9397472565,0.2913420053,0.1487894549,0.2725861953
53,2.4094257610,0.3976325798,0.9580661811,0.2931940227,0.1573878773,0.2612871152
54,2.5907117165,0.4038781892,1.0463319568,0.3003209868,0.1689173788,0.2957229454
55,2.4982699908,0.3732483608,0.9324751788,0.2765948373,0.1449601697,0.2790048968
56,2.6156774732,0.4081512712,1.0675920856,0.3031559358,0.1568340453,0.2932585133
57,2.3374615483,0.3688936842,0.8622748023,0.2722968123,0.1458827712,0.2547793748
58,2.5468974113,0.3850260291,0.9806217968,0.2795563009,0.1553398821,0.2777749553
59,2.4534775082,0.3948963463,0.9688693038,0.2879047862,0.1608659698,0.2819444156
60,2.6102356214,0.3819739666,0.9970420541,0.2922519232,0.1524699782,0.2716017298
61,2.4009426035,0.3819027963,0.9169266941,0.2883659449,0.1509037270,0.2512864745
62,2.4253934938,0.3781794928,0.9172340813,0.2843610719,0.1491646672,0.2710173176
63,2.5720815235,0.3849087021,0.9900165608,0.2931035047,0.1533350141,0.2706338653
64,2.4714282766,0.3966717459,0.9803457693,0.3036727471,0.1560174698,0.2787947502
