idx,R_mean_s,X_jobs_per_s,N_mean,U_A,U_B,U_P
1,4.6569740382,0.2675302954,1.2458816401,0.2102288465,0.2099565857,0.2235021959
2,3.7093123176,0.4603747795,1.7076738404,0.3183373285,0.4105453897,0.3447061177
3,4.2170596896,0.6253318856,2.6370618873,0.5202400246,0.4744355760,0.4409331891
4,3.4191853078,0.4293202992,1.4679256594,0.3134727406,0.3438472165,0.2956191042
5,4.5068176896,0.3589408941,1.6176811712,0.2654738089,0.4403351637,0.2459866666
6,3.6430660051,0.5133737195,1.8702543454,0.3879609936,0.4318638653,0.3354303791
7,5.8875691998,0.7299532140,4.2976500598,0.5453844907,0.5795283140,0.4931857379
8,2.7312656255,0.4237321737,1.1573251206,0.3306647108,0.2348027670,0.2854413955
9,4.5707202177,0.7694627063,3.5169987485,0.5571365599,0.4273608955,0.5782243820
10,4.6828638130,0.5112901388,2.3943020888,0.3882582817,0.4802000214,0.3606085385
11,3.1821798347,0.3396126545,1.0807085408,0.2559791116,0.2468815197,0.2229010635
12,5.4191047032,0.8649867860,4.6874539604,0.7236222588,0.5386595488,0.6339277299
13,3.9556623491,0.5079864314,2.0094228007,0.3771996492,0.3865152173,0.4237369165
14,4.1941830373,0.4268831725,1.7904261609,0.3264132316,0.2973238012,0.3024754641
15,3.2921691069,0.3871497822,1.2745625526,0.2967978876,0.3009940653,0.2368067554
16,3.2469156882,0.3043198441,0.9881008761,0.2375177282,0.2248582181,0.2077562236
17,4.2362250308,0.2128805108,0.9018097483,0.1707706092,0.2002006635,0.1493269137
18,4.5657564649,0.5760688086,2.6301898871,0.4594084415,0.7153943886,0.3944703646
19,8.3096820690,0.8990511739,7.4708294185,0.6006225126,0.7703078740,0.5526140046
20,3.5281917504,0.4412719316,1.5568919888,0.3468056790,0.2879040778,0.2772466868
21,3.6852362398,0.4681399774,1.7252064098,0.3613193731,0.3464923490,0.3262421651
22,2.9911311794,0.2795997805,0.8363196213,0.2286597594,0.2070558546,0.1640235875
23,4.0438454558,0.4033630795,1.6311379561,0.3255648691,0.3037094148,0.2931689314
24,4.5773055115,0.1695171355,0.7759317188,0.1326631946,0.1616302844,0.1334822862
25,3.3466155666,0.3905956714,1.3071735540,0.2792205540,0.3086836413,0.2722308606
26,3.8749370931,0.5750604080,2.2283229058,0.4059879693,0.3951126234,0.3975987552
27,4.6839894175,0.7728667150,3.6200995142,0.5737687009,0.4768311093,0.5008060747
28,3.1404939542,0.4884887594,1.5340959955,0.3569332043,0.2922619809,0.3434300973
29,3.6597567057,0.5153819517,1.8861725538,0.3982055634,0.4250370328,0.3550565135
30,3.2009375380,0.2086982579,0.6680300879,0.1724882951,0.1662663541,0.1458426672
31,3.4340856959,0.3882517611,1.3332898191,0.2819523857,0.2964110055,0.3182479980
32,3.7122974347,0.3631192801,1.3480067721,0.2801489502,0.2340546242,0.2522628722
33,3.7197268719,0.3481503299,1.2950241374,0.2568913796,0.3044365694,0.2570415494
34,4.1351060495,0.2569768748,1.0626266294,0.1981421814,0.1945656704,0.2134809585
35,4.4539852882,0.7311883433,3.2567021242,0.5743503001,0.5376275542,0.4961359087
36,2.8438786258,0.5548618224,1.5779596769,0.4329504440,0.3227795517,0.3781094414
37,2.9368344702,0.3453755042,1.0143106859,0.2736565522,0.2411908217,0.2574350574
38,5.0567148922,0.3124640237,1.5800414819,0.2453727934,0.2870780221,0.2152626437
39,3.6243330409,0.2351244722,0.8521693934,0.1798943266,0.2612107830,0.1521766675
40,4.4663692357,0.3414313205,1.5249583459,0.2483959808,0.4445794605,0.1972645417
41,3.5927525676,0.4504837345,1.6184765937,0.3372680523,0.3305945413,0.3697621994
42,3.0283991919,0.3501884439,1.0605104005,0.2848390836,0.2209479560,0.2277986133
43,4.3928927491,0.5562092349,2.4433675149,0.4306946364,0.4507619544,0.3952218574
44,5.1943884683,0.4053941453,2.1057746735,0.3179805111,0.5857830438,0.3262540616
45,4.7097539190,0.5813270410,2.7379073095,0.4057198934,0.4663764006,0.4422032986
46,2.8274434790,0.2518186574,0.7120030207,0.1790032718,0.1690106128,0.1744076954
47,3.3862997589,0.5188723689,1.7570573777,0.3872693702,0.3615726545,0.2988185778
48,3.4689477257,0.3350282779,1.1621955827,0.2562749459,0.2621252170,0.2370291830
49,4.5921789253,0.7788905048,3.5768045611,0.5912055524,0.5603843788,0.5925454618
50,4.1929537558,0.5220843543,2.1890755543,0.3669987318,0.5139266894,0.3873610698
51,3.4463930877,0.3751211300,1.2928148695,0.2699968140,0.3083751251,0.2643147578
52,7.1001599076,0.6663855186,4.7314437422,0.5012846494,0.5474967776,0.4856943826
53,3.6825068012,0.3004997013,1.1065921938,0.2223994285,0.2923730370,0.2072313457
54,4.1700643816,0.3268225094,1.3628709057,0.2224957326,0.2603190115,0.2033360421
55,4.4455247158,0.4139608771,1.8402733107,0.3041674517,0.4713887672,0.2704284716
56,4.8180861685,0.6663863825,3.2107070127,0.4783200580,0.7329436375,0.4909358044
57,3.7325801750,0.2434854247,0.9088288692,0.1961832266,0.3100175037,0.1556599418
58,3.5939413158,0.5649780808,2.0304980672,0.4270677956,0.4626664601,0.4061627905
