idx,R_mean_s,X_jobs_per_s,N_mean,U_A,U_B,U_P
1,1.5564083915,0.3455925824,0.5378831954,0.2423981489,0.1200837170,0.1176254386
2,2.5192771727,0.5372495824,1.3534806091,0.3669532945,0.1977899128,0.2597851035
3,2.0636165217,0.4791078437,0.9886948619,0.3531691967,0.2136103240,0.1732993467
4,2.0327514023,0.5049523044,1.0264425049,0.3701228602,0.1936744277,0.1737177733
5,1.8346617599,0.5539456417,1.0163028859,0.3676318643,0.2268790685,0.2174551475
6,1.8522698730,0.4813706169,0.8916282915,0.3241470786,0.1810702233,0.2015293121
7,2.6229155836,0.5139515868,1.3480516262,0.3991795912,0.1952624002,0.2259868255
8,1.9355125904,0.4519065490,0.8746708152,0.2956394217,0.1822975141,0.1829826613
9,1.9897115047,0.5915228858,1.1769598911,0.3725282644,0.2252647951,0.2272414006
10,1.8023638107,0.4344870396,0.7831037164,0.3294997632,0.1615816629,0.1703782050
11,2.0993468785,0.4103995091,0.8615709284,0.2996532851,0.1727711147,0.1835386436
12,2.1379559244,0.5837858064,1.2481083234,0.3899050134,0.1886564399,0.2404945512
13,1.6817862521,0.4404627061,0.7407641236,0.2948480945,0.1364345276,0.1285618405
14,1.7722356177,0.4129760385,0.7318908447,0.2670556190,0.1739979429,0.1404449349
15,1.8494541452,0.4096094059,0.7575538136,0.2914892311,0.1603517500,0.1279820980
16,2.0239759568,0.4803385346,0.9721936452,0.2959318923,0.2168727477,0.2226869135
17,1.6804365287,0.4521789630,0.7598580470,0.2762456464,0.1622828432,0.1954283427
18,1.7555036530,0.4893835113,0.8591145419,0.3090941817,0.2038791298,0.1738542811
19,1.7829898534,0.4253636252,0.7584190277,0.3115468773,0.1722472256,0.1422309190
20,1.8998878232,0.4766493723,0.9055803384,0.3007489017,0.2031763862,0.1881136058
21,1.9789055915,0.5915208797,1.1705639763,0.3824531273,0.2394415288,0.2429003272
22,1.5246087994,0.5943478545,0.9061479689,0.4224029575,0.1733378463,0.1671059051
23,1.9157459754,0.4553448170,0.8723250006,0.3377491724,0.1920561183,0.1483224343
24,2.0662034239,0.5891696305,1.2173443079,0.3436132646,0.1963558507,0.2145231654
25,1.7766208038,0.3959556834,0.7034631044,0.2471605099,0.1520131578,0.1680660140
26,1.8544384392,0.4590260267,0.8512355085,0.3358591966,0.2270990100,0.1449337493
27,3.2671110535,0.5404855808,1.7658264152,0.4589790043,0.2588238957,0.2902690590
28,1.9765478017,0.4854563029,0.9595275884,0.2768221429,0.1869503595,0.2115527505
29,1.8138035015,0.4463870514,0.8096583969,0.2945178373,0.1643234681,0.1965469048
30,2.2603354351,0.5491260379,1.2412090418,0.4422340218,0.1735519523,0.2276816155
31,2.1275085887,0.4298483189,0.9145059904,0.3318581447,0.1823644111,0.1467371394
32,2.0723716755,0.3440148728,0.7129266784,0.2480749963,0.1429025603,0.1408838275
33,1.6073481860,0.4466938607,0.7179925667,0.2980612466,0.1298261996,0.1334165618
34,2.1363717637,0.4864682399,1.0392770116,0.3462766960,0.1875345018,0.2067309868
35,2.0667739884,0.4672013377,0.9655995721,0.3619754319,0.2066211021,0.1698506987
36,2.2592311268,0.5220318208,1.1793905388,0.3553402128,0.2403193021,0.2282502431
37,1.8079631186,0.5312987976,0.9605686310,0.3385612243,0.2205994010,0.1596399639
38,2.6302052973,0.4960723738,1.3047721855,0.3128006525,0.2952878468,0.2346370810
39,2.3388853422,0.5368351825,1.2555959396,0.4373571084,0.2242255324,0.1866968737
40,1.9729780344,0.5924623698,1.1689152418,0.3807893635,0.2002332072,0.2956799089
41,2.2793609788,0.5356890067,1.2210286187,0.3920319924,0.3059730836,0.2760872548
42,1.9895273144,0.4579520945,0.9111082007,0.2828116594,0.2547463038,0.1561133685
43,2.0161485099,0.3895687693,0.7854284938,0.2720781709,0.1752468921,0.1383046099
44,1.7632871496,0.4031423452,0.7108557167,0.2458044560,0.1438106964,0.2058522564
