idx,R_mean_s,X_jobs_per_s,N_mean,U_A,U_B,U_P
1,2.0053576988,0.3360465122,0.6738934604,0.2599391265,0.1167420642,0.1951871667
2,3.6520790234,0.5207092373,1.9016712829,0.3783747821,0.1971434914,0.4522096195
3,2.4647825299,0.4798527854,1.1827327623,0.3477540965,0.1977105337,0.3007747328
4,2.4054208655,0.5191006050,1.2486554266,0.3550651341,0.2021580669,0.3240637899
5,2.5338826856,0.5054315245,1.2807041887,0.4087310574,0.2220282026,0.3433014067
6,2.7003734553,0.5514245028,1.4890520899,0.4054733799,0.1845576034,0.3784601121
7,2.7794144579,0.4710999401,1.3093819846,0.3511680806,0.1886427983,0.3652148091
8,2.7692734716,0.4583410769,1.2692717851,0.3366285281,0.1797964450,0.3463365635
9,2.6292380709,0.5636014207,1.4818423122,0.3941317267,0.2327099239,0.3812340841
10,2.8569610744,0.4460832867,1.2744425862,0.3510915651,0.1574391837,0.2875847120
11,2.8794997557,0.4472133173,1.2877506378,0.3347410476,0.1608110135,0.3636629072
12,2.7966879521,0.5327601115,1.4899637853,0.3922757752,0.1974465500,0.3716026391
13,2.0603023400,0.4201877315,0.8657137665,0.3239272066,0.1408674972,0.2194337818
14,2.6180816599,0.4633457018,1.2130768841,0.3522968230,0.1877519451,0.2764305499
15,1.9909403310,0.3981805119,0.7927536402,0.2784497313,0.1553481062,0.2150202242
16,2.8318465727,0.4752364343,1.3457966676,0.3434174936,0.2225299426,0.3926538002
17,2.2682238807,0.4223270781,0.9579323640,0.2860358457,0.1477718708,0.3015568308
18,2.3346478984,0.5276195667,1.2318059126,0.3531544962,0.2245580802,0.3447785928
19,1.9496651723,0.4127319033,0.8046890175,0.2950339828,0.1560526731,0.2189618357
20,2.4791705314,0.4898058323,1.2143121854,0.3204900750,0.2088578188,0.3668421430
21,2.6414857369,0.5926008001,1.5653465612,0.4235493834,0.2422832743,0.4232142814
22,2.0639127032,0.5786369875,1.1942562290,0.3854253093,0.1832065901,0.2963901144
23,2.1921364185,0.4916559030,1.0777768103,0.3881528930,0.1837839017,0.2713246936
24,2.5262843440,0.5204557783,1.3148192844,0.3652361058,0.1895969349,0.3342645739
25,2.2902991078,0.4110405886,0.9414058933,0.2731904143,0.1617711665,0.2983017890
26,2.3372657328,0.4813125917,1.1249554274,0.3470178849,0.2344243313,0.2815333443
27,4.0132861538,0.4986268011,2.0011320369,0.4286175991,0.2371309971,0.4576076243
28,2.8862092997,0.5567952474,1.6070276209,0.3747588717,0.2109249925,0.4090874641
29,2.5570240276,0.4057938154,1.0376245363,0.2861361639,0.1460921340,0.3113557612
30,2.8776040234,0.5513392453,1.5865360304,0.4478613714,0.1863838821,0.4221766354
31,2.5544183154,0.4595191130,1.1738040387,0.3639548540,0.1882560870,0.2521801743
32,2.8390439313,0.3319966870,0.9425531794,0.2772581192,0.1360466166,0.2587352932
33,1.8692090973,0.4209430479,0.7868305746,0.2825800953,0.1313161740,0.2169655237
34,2.8636961659,0.5046751195,1.4452362048,0.3709681121,0.1793631941,0.3675102820
35,2.8009907653,0.4847593180,1.3578063730,0.3832240202,0.2050665506,0.2924853117
36,2.9673093018,0.4814025636,1.4284703047,0.3574141763,0.2471273315,0.3783399573
37,2.7318255219,0.5512457089,1.5059070963,0.4115600913,0.2090282526,0.3011976218
38,3.3554604125,0.4939374445,1.6573875412,0.3627298918,0.3164990766,0.4012987230
39,2.7229238126,0.5981320842,1.6286680953,0.5053902566,0.2401381206,0.3448377287
40,4.1183110166,0.5190520008,2.1376175729,0.3990530896,0.1828645499,0.4694976753
41,2.8460576082,0.5607818919,1.5960175700,0.4217723314,0.2649675231,0.4925201861
42,2.8446368655,0.4611146946,1.3117038595,0.3245141056,0.2961184522,0.2708918464
43,2.6181150780,0.3762672390,0.9851109318,0.3037585221,0.1712081413,0.2528528395
44,2.5472226061,0.4207047361,1.0716286142,0.2645969202,0.1418960642,0.3675273353
45,2.3452476566,0.4047175455,0.9491628752,0.3144236334,0.1327876164,0.2936004640
46,2.1417082566,0.3834608700,0.8212613114,0.2719298663,0.1495103694,0.2977078611
47,2.9253337968,0.5995602314,1.7539138082,0.4918591531,0.2583895582,0.3875597631
