idx,R_mean_s,X_jobs_per_s,N_mean,U_A,U_B,U_P
1,3.0474494869,0.5208863104,1.5873747193,0.4225664571,0.3460212524,0.3390627224
2,4.4627816174,0.5209600546,2.3249309552,0.4015960933,0.4058831050,0.2775204081
3,4.5628655932,0.3823790860,1.7447443750,0.3104289850,0.3419192594,0.2963347176
4,4.6887018031,0.3255374637,1.5263480932,0.2432854339,0.3760438192,0.2464625393
5,3.3467381282,0.2844021415,0.9518194908,0.2171520601,0.2308080942,0.2351501921
6,4.3490305335,0.5296033925,2.3032613246,0.3569013349,0.6179129148,0.2962886271
7,3.3396268534,0.4765896431,1.5916315702,0.3558317607,0.3615933971,0.3151652895
8,4.2324535564,0.4279224283,1.8111618035,0.3286614964,0.3837894209,0.2789102981
9,3.2885553856,0.4228709854,1.3906346565,0.3198405285,0.3523857362,0.3312680689
10,3.5345575460,0.5567030180,1.9676988533,0.4140825661,0.3523388392,0.4755223227
11,4.6260276745,0.6296800251,2.9129172221,0.4787833146,0.5939454393,0.4849218401
12,3.6013923179,0.1915648157,0.6899000558,0.1529610602,0.1367593927,0.1448596293
13,3.1340952575,0.3500936419,1.0972268228,0.2125104021,0.2757713565,0.2187904510
14,3.3052827071,0.3602639642,1.1907742509,0.2651128961,0.3889009337,0.2515793597
15,3.2814319758,0.3842981780,1.2610483296,0.3005447179,0.2213606881,0.2687837150
16,3.4440169515,0.1653456851,0.5694533422,0.1380408557,0.1422209035,0.1328071639
17,3.5205625882,0.3497705115,1.2313889774,0.2598764033,0.2847552501,0.2534899838
18,4.5820284208,0.3815211942,1.7481409550,0.3230724358,0.3992424942,0.2824069820
19,3.8460005612,0.5452955319,2.0972069216,0.3796492174,0.3883602492,0.3601718995
20,2.8940466044,0.4313937858,1.2484737211,0.3108287844,0.2451852131,0.3338332139
21,4.8351595650,0.3278729984,1.5853182646,0.2335749720,0.4486034061,0.2175651720
22,2.6108970594,0.2131837164,0.5566007382,0.1450733435,0.1489731839,0.1484800041
